id,gene_name
,TBXA2R
,PTH1R
,CALCRL
,PTGDR2
,DRD2
,HTR2C
,FZD4
,PTGER3
,PTAFR
,NPY1R
,PTGER4
,DRD4
,APLNR
,CALCR
,AGTR2
,CNR1
,CCR2
,C5AR1
,GLP1R
,F2RL1
,ADORA1
,CCR9
,EDNRB
,CHRM4
,CHRM1
,HCRTR1
,LPAR1
,AGTR1
,US28
,P2RY1
,HCRTR2
,FFAR1
,GRM1
,GRM5
,P2RY12
,OPRD1
,CCR5
,GCGR
,CRHR1
,SMO
,HTR2B
,HTR1B
,Oprd1
,OPRL1
,Oprm1
,OPRK1
,Chrm3
,Ntsr1
,F2R
,S1PR1
,CHRM2
,HRH1
,DRD3
,CXCR4
,ADORA2A
,ADRB1
,ADRB2
,CXCR1
,TACR1
,RHO
