id,gene_name
NA,RHO
NA,TACR1
NA,CXCR1
NA,ADRB2
NA,ADRB1
NA,ADORA2A
NA,CXCR4
NA,DRD3
NA,HRH1
NA,CHRM2
NA,S1PR1
NA,F2R
NA,Ntsr1
NA,Chrm3
NA,OPRK1
NA,Oprm1
NA,OPRL1
NA,Oprd1
NA,HTR1B
NA,HTR2B
NA,SMO
NA,CRHR1
NA,GCGR
NA,CCR5
NA,OPRD1
NA,P2RY12
NA,GRM5
NA,GRM1
NA,FFAR1
NA,HCRTR2
NA,P2RY1
NA,US28
NA,AGTR1
NA,LPAR1
NA,HCRTR1
NA,CHRM1
NA,CHRM4
NA,EDNRB
NA,CCR9
NA,ADORA1
NA,F2RL1
NA,GLP1R
NA,C5AR1
NA,CCR2
NA,CNR1
NA,AGTR2
NA,CALCR
NA,APLNR
NA,DRD4
NA,PTGER4
NA,NPY1R
NA,PTAFR
NA,PTGER3
NA,FZD4
NA,HTR2C
NA,DRD2
NA,PTGDR2
NA,CALCRL
NA,PTH1R
NA,TBXA2R
